EXTRACTOR|MEASURE|MODEL|FILTER|ROC_AUC|AUC_PR|Max. f1
EfficientNetB0|per frame (max)|SpatialBin/SVG/simple_0.20|None|0.50157913|0.49294220|0.61710037
EfficientNetB0|per frame (max)|BalancedDistributionSVG/500/40/0.30|None|0.55105860|0.55263327|0.61940299
EfficientNetB0|per frame (max)|SpatialBin/SVG/0.20|(1, 1, 1)|0.56825360|0.60022987|0.61710037
EfficientNetB0|per frame (max)|SpatialBin/SVG/simple_0.50|(1, 1, 1)|0.57679261|0.56529350|0.61710037
EfficientNetB0|per frame (max)|SVG|(1, 1, 1)|0.53398058|0.58458779|0.61710037
EfficientNetB0|per frame (max)|SpatialBin/SVG/0.50|(1, 1, 1)|0.56731781|0.59984086|0.61710037
EfficientNetB0|per frame (max)|SpatialBin/SVG/simple_0.20|(1, 1, 1)|0.53842555|0.50651844|0.61710037
EfficientNetB0|per frame (max)|BalancedDistributionSVG/500/40/0.30|(1, 1, 1)|0.58346005|0.60822897|0.61710037
EfficientNetB0|per frame (max)|SpatialBin/SVG/0.20|(2, 2, 2)|0.55304714|0.60208173|0.61940299
EfficientNetB0|per frame (max)|SpatialBin/SVG/simple_0.50|(2, 2, 2)|0.58930869|0.60430045|0.61710037
EfficientNetB0|per frame (max)|SVG|(2, 2, 2)|0.51128787|0.58884856|0.61710037
EfficientNetB0|per frame (max)|SpatialBin/SVG/0.50|(2, 2, 2)|0.55187741|0.60169793|0.61940299
EfficientNetB0|per frame (max)|SpatialBin/SVG/simple_0.20|(2, 2, 2)|0.51526494|0.49490902|0.61710037
EfficientNetB0|per frame (max)|BalancedDistributionSVG/500/40/0.30|(2, 2, 2)|0.51795532|0.59366589|0.62172285
EfficientNetB0|per frame (max)|SpatialBin/SVG/0.20|(0, 1, 1)|0.54626272|0.55999049|0.61710037
EfficientNetB0|per frame (max)|SpatialBin/SVG/simple_0.50|(0, 1, 1)|0.55222833|0.54791617|0.61710037
EfficientNetB0|per frame (max)|SVG|(0, 1, 1)|0.51865715|0.54704382|0.61940299
EfficientNetB0|per frame (max)|SpatialBin/SVG/0.50|(0, 1, 1)|0.54544391|0.55973479|0.61710037
EfficientNetB0|per frame (max)|SpatialBin/SVG/simple_0.20|(0, 1, 1)|0.53409756|0.51708741|0.61710037
EfficientNetB0|per frame (max)|BalancedDistributionSVG/500/40/0.30|(0, 1, 1)|0.58884080|0.57875623|0.61710037
EfficientNetB0|per frame (max)|SpatialBin/SVG/0.20|(0, 2, 2)|0.58310914|0.58439877|0.64341085
EfficientNetB0|per frame (max)|SpatialBin/SVG/simple_0.50|(0, 2, 2)|0.60439818|0.57686839|0.63000000
EfficientNetB0|per frame (max)|SVG|(0, 2, 2)|0.53491636|0.55834286|0.62406015
EfficientNetB0|per frame (max)|SpatialBin/SVG/0.50|(0, 2, 2)|0.58322611|0.58404821|0.64591440
EfficientNetB0|per frame (max)|SpatialBin/SVG/simple_0.20|(0, 2, 2)|0.58533162|0.55394100|0.62357414
EfficientNetB0|per frame (max)|BalancedDistributionSVG/500/40/0.30|(0, 2, 2)|0.55468476|0.56967995|0.62641509
EfficientNetB0|per frame (max)|SpatialBin/SVG/0.20|(1, 0, 0)|0.57445315|0.59467989|0.61710037
EfficientNetB0|per frame (max)|SpatialBin/SVG/simple_0.50|(1, 0, 0)|0.56146918|0.52489763|0.61710037
EfficientNetB0|per frame (max)|SVG|(1, 0, 0)|0.54298748|0.58325293|0.61710037
EfficientNetB0|per frame (max)|SpatialBin/SVG/0.50|(1, 0, 0)|0.57281553|0.59371053|0.61710037
EfficientNetB0|per frame (max)|SpatialBin/SVG/simple_0.20|(1, 0, 0)|0.51795532|0.48642122|0.61710037
EfficientNetB0|per frame (max)|BalancedDistributionSVG/500/40/0.30|(1, 0, 0)|0.55012282|0.59114158|0.61710037
EfficientNetB0|per frame (max)|SpatialBin/SVG/0.20|(2, 0, 0)|0.56146918|0.59278675|0.61710037
EfficientNetB0|per frame (max)|SpatialBin/SVG/simple_0.50|(2, 0, 0)|0.55667330|0.52941064|0.61710037
EfficientNetB0|per frame (max)|SVG|(2, 0, 0)|0.52251725|0.57936022|0.61710037
EfficientNetB0|per frame (max)|SpatialBin/SVG/0.50|(2, 0, 0)|0.56100129|0.59366520|0.61710037
EfficientNetB0|per frame (max)|SpatialBin/SVG/simple_0.20|(2, 0, 0)|0.49666628|0.45900565|0.61710037
EfficientNetB0|per frame (max)|BalancedDistributionSVG/500/40/0.30|(2, 0, 0)|0.50298281|0.57781960|0.61710037
EfficientNetB0|per frame (sum)|SpatialBin/SVG/0.20|None|0.58930869|0.58831839|0.62172285
EfficientNetB0|per frame (sum)|SpatialBin/SVG/simple_0.50|None|0.62884548|0.59970266|0.64000000
EfficientNetB0|per frame (sum)|SVG|None|0.52310212|0.54556448|0.61940299
EfficientNetB0|per frame (sum)|SpatialBin/SVG/0.50|None|0.58743713|0.58748566|0.62172285
EfficientNetB0|per frame (sum)|SpatialBin/SVG/simple_0.20|None|0.59036145|0.57212309|0.62172285
EfficientNetB0|per frame (sum)|BalancedDistributionSVG/500/40/0.30|None|0.53327875|0.55197290|0.61940299
EfficientNetB0|per frame (sum)|SpatialBin/SVG/0.20|(1, 1, 1)|0.58942566|0.60844230|0.62172285
EfficientNetB0|per frame (sum)|SpatialBin/SVG/simple_0.50|(1, 1, 1)|0.61305416|0.61782465|0.63565891
EfficientNetB0|per frame (sum)|SVG|(1, 1, 1)|0.53468242|0.58615339|0.62172285
EfficientNetB0|per frame (sum)|SpatialBin/SVG/0.50|(1, 1, 1)|0.58732015|0.60719346|0.62172285
EfficientNetB0|per frame (sum)|SpatialBin/SVG/simple_0.20|(1, 1, 1)|0.58112060|0.56745647|0.62121212
EfficientNetB0|per frame (sum)|BalancedDistributionSVG/500/40/0.30|(1, 1, 1)|0.53210902|0.58599745|0.62641509
EfficientNetB0|per frame (sum)|SpatialBin/SVG/0.20|(2, 2, 2)|0.54556088|0.59956358|0.61710037
EfficientNetB0|per frame (sum)|SpatialBin/SVG/simple_0.50|(2, 2, 2)|0.58498070|0.61938436|0.62698413
EfficientNetB0|per frame (sum)|SVG|(2, 2, 2)|0.50988420|0.58824008|0.61710037
EfficientNetB0|per frame (sum)|SpatialBin/SVG/0.50|(2, 2, 2)|0.54439116|0.59925822|0.61710037
EfficientNetB0|per frame (sum)|SpatialBin/SVG/simple_0.20|(2, 2, 2)|0.54216867|0.55290351|0.62172285
EfficientNetB0|per frame (sum)|BalancedDistributionSVG/500/40/0.30|(2, 2, 2)|0.50789566|0.58951920|0.62172285
EfficientNetB0|per frame (sum)|SpatialBin/SVG/0.20|(0, 1, 1)|0.58930869|0.58831839|0.62172285
EfficientNetB0|per frame (sum)|SpatialBin/SVG/simple_0.50|(0, 1, 1)|0.62884548|0.59970266|0.64000000
EfficientNetB0|per frame (sum)|SVG|(0, 1, 1)|0.52310212|0.54556448|0.61940299
EfficientNetB0|per frame (sum)|SpatialBin/SVG/0.50|(0, 1, 1)|0.58743713|0.58748566|0.62172285
EfficientNetB0|per frame (sum)|SpatialBin/SVG/simple_0.20|(0, 1, 1)|0.59036145|0.57212309|0.62172285
EfficientNetB0|per frame (sum)|BalancedDistributionSVG/500/40/0.30|(0, 1, 1)|0.53327875|0.55197290|0.61940299
EfficientNetB0|per frame (sum)|SpatialBin/SVG/0.20|(0, 2, 2)|0.58930869|0.58831839|0.62172285
EfficientNetB0|per frame (sum)|SpatialBin/SVG/simple_0.50|(0, 2, 2)|0.62884548|0.59970266|0.64000000
EfficientNetB0|per frame (sum)|SVG|(0, 2, 2)|0.52310212|0.54556448|0.61940299
EfficientNetB0|per frame (sum)|SpatialBin/SVG/0.50|(0, 2, 2)|0.58743713|0.58748566|0.62172285
EfficientNetB0|per frame (sum)|SpatialBin/SVG/simple_0.20|(0, 2, 2)|0.59036145|0.57212309|0.62172285
EfficientNetB0|per frame (sum)|BalancedDistributionSVG/500/40/0.30|(0, 2, 2)|0.53327875|0.55197290|0.61940299
EfficientNetB0|per frame (sum)|SpatialBin/SVG/0.20|(1, 0, 0)|0.58942566|0.60844230|0.62172285
EfficientNetB0|per frame (sum)|SpatialBin/SVG/simple_0.50|(1, 0, 0)|0.61305416|0.61782465|0.63565891
EfficientNetB0|per frame (sum)|SVG|(1, 0, 0)|0.53468242|0.58615339|0.62172285
EfficientNetB0|per frame (sum)|SpatialBin/SVG/0.50|(1, 0, 0)|0.58732015|0.60719346|0.62172285
EfficientNetB0|per frame (sum)|SpatialBin/SVG/simple_0.20|(1, 0, 0)|0.58112060|0.56745647|0.62121212
EfficientNetB0|per frame (sum)|BalancedDistributionSVG/500/40/0.30|(1, 0, 0)|0.53210902|0.58599745|0.62641509
EfficientNetB0|per frame (sum)|SpatialBin/SVG/0.20|(2, 0, 0)|0.54556088|0.59956358|0.61710037
EfficientNetB0|per frame (sum)|SpatialBin/SVG/simple_0.50|(2, 0, 0)|0.58498070|0.61938436|0.62698413
EfficientNetB0|per frame (sum)|SVG|(2, 0, 0)|0.50988420|0.58824008|0.61710037
EfficientNetB0|per frame (sum)|SpatialBin/SVG/0.50|(2, 0, 0)|0.54439116|0.59925822|0.61710037
EfficientNetB0|per frame (sum)|SpatialBin/SVG/simple_0.20|(2, 0, 0)|0.54216867|0.55290351|0.62172285
EfficientNetB0|per frame (sum)|BalancedDistributionSVG/500/40/0.30|(2, 0, 0)|0.50789566|0.58951920|0.62172285
EfficientNetB0_Block6|per patch|SpatialBin/SVG/0.20|None|0.65785486|0.11018277|0.26118721
EfficientNetB0_Block6|per patch|SpatialBin/SVG/simple_0.50|None|0.72628290|0.16660272|0.28989977
EfficientNetB0_Block6|per patch|SVG|None|0.65185988|0.10889292|0.25915996
EfficientNetB0_Block6|per patch|SpatialBin/SVG/0.50|None|0.65757126|0.11014516|0.26118721
EfficientNetB0_Block6|per patch|SpatialBin/SVG/simple_0.20|None|0.72429193|0.16664420|0.29352069
EfficientNetB0_Block6|per patch|BalancedDistributionSVG/500/14/0.30|None|0.66842710|0.12560966|0.27502034
EfficientNetB0_Block6|per patch|SpatialBin/SVG/0.20|(1, 1, 1)|0.72336347|0.15054889|0.27476415
EfficientNetB0_Block6|per patch|SpatialBin/SVG/simple_0.50|(1, 1, 1)|0.76233437|0.16736544|0.29041096
EfficientNetB0_Block6|per patch|SVG|(1, 1, 1)|0.71698205|0.14990939|0.27362319
EfficientNetB0_Block6|per patch|SpatialBin/SVG/0.50|(1, 1, 1)|0.72317092|0.15055355|0.27476415
EfficientNetB0_Block6|per patch|SpatialBin/SVG/simple_0.20|(1, 1, 1)|0.77704600|0.18556569|0.32302937
EfficientNetB0_Block6|per patch|BalancedDistributionSVG/500/14/0.30|(1, 1, 1)|0.71248192|0.15843642|0.27717671
EfficientNetB0_Block6|per patch|SpatialBin/SVG/0.20|(2, 2, 2)|0.71846191|0.16136364|0.28386454
EfficientNetB0_Block6|per patch|SpatialBin/SVG/simple_0.50|(2, 2, 2)|0.75744941|0.16451607|0.30207588
EfficientNetB0_Block6|per patch|SVG|(2, 2, 2)|0.71286140|0.16087897|0.28458106
EfficientNetB0_Block6|per patch|SpatialBin/SVG/0.50|(2, 2, 2)|0.71834381|0.16132305|0.28400598
EfficientNetB0_Block6|per patch|SpatialBin/SVG/simple_0.20|(2, 2, 2)|0.77541027|0.17113544|0.33146067
EfficientNetB0_Block6|per patch|BalancedDistributionSVG/500/14/0.30|(2, 2, 2)|0.71273392|0.16731550|0.28970512
EfficientNetB0_Block6|per patch|SpatialBin/SVG/0.20|(0, 1, 1)|0.67276815|0.12455895|0.27581330
EfficientNetB0_Block6|per patch|SpatialBin/SVG/simple_0.50|(0, 1, 1)|0.74373614|0.16790906|0.29371688
EfficientNetB0_Block6|per patch|SVG|(0, 1, 1)|0.66364123|0.12231987|0.26128591
EfficientNetB0_Block6|per patch|SpatialBin/SVG/0.50|(0, 1, 1)|0.67216238|0.12446367|0.27581330
EfficientNetB0_Block6|per patch|SpatialBin/SVG/simple_0.20|(0, 1, 1)|0.75810499|0.18102432|0.31974922
EfficientNetB0_Block6|per patch|BalancedDistributionSVG/500/14/0.30|(0, 1, 1)|0.65012908|0.12821083|0.29590489
EfficientNetB0_Block6|per patch|SpatialBin/SVG/0.20|(0, 2, 2)|0.65882618|0.13176137|0.30068027
EfficientNetB0_Block6|per patch|SpatialBin/SVG/simple_0.50|(0, 2, 2)|0.74403876|0.16762014|0.30635118
EfficientNetB0_Block6|per patch|SVG|(0, 2, 2)|0.64921642|0.13019315|0.29457364
EfficientNetB0_Block6|per patch|SpatialBin/SVG/0.50|(0, 2, 2)|0.65808571|0.13170601|0.30047587
EfficientNetB0_Block6|per patch|SpatialBin/SVG/simple_0.20|(0, 2, 2)|0.76999400|0.17835576|0.32561852
EfficientNetB0_Block6|per patch|BalancedDistributionSVG/500/14/0.30|(0, 2, 2)|0.64451865|0.13164373|0.29820051
EfficientNetB0_Block6|per patch|SpatialBin/SVG/0.20|(1, 0, 0)|0.70827129|0.13283993|0.26424051
EfficientNetB0_Block6|per patch|SpatialBin/SVG/simple_0.50|(1, 0, 0)|0.76487258|0.17723719|0.28847584
EfficientNetB0_Block6|per patch|SVG|(1, 0, 0)|0.70375858|0.13216437|0.26507937
EfficientNetB0_Block6|per patch|SpatialBin/SVG/0.50|(1, 0, 0)|0.70812025|0.13284178|0.26424051
EfficientNetB0_Block6|per patch|SpatialBin/SVG/simple_0.20|(1, 0, 0)|0.75855409|0.18067118|0.29223744
EfficientNetB0_Block6|per patch|BalancedDistributionSVG/500/14/0.30|(1, 0, 0)|0.72298587|0.15126267|0.28074385
EfficientNetB0_Block6|per patch|SpatialBin/SVG/0.20|(2, 0, 0)|0.70814944|0.12296935|0.24080268
EfficientNetB0_Block6|per patch|SpatialBin/SVG/simple_0.50|(2, 0, 0)|0.76506325|0.17202180|0.29205807
EfficientNetB0_Block6|per patch|SVG|(2, 0, 0)|0.70470901|0.12188722|0.23799865
EfficientNetB0_Block6|per patch|SpatialBin/SVG/0.50|(2, 0, 0)|0.70806776|0.12294620|0.24080268
EfficientNetB0_Block6|per patch|SpatialBin/SVG/simple_0.20|(2, 0, 0)|0.76155507|0.18120655|0.30557940
EfficientNetB0_Block6|per patch|BalancedDistributionSVG/500/14/0.30|(2, 0, 0)|0.72917769|0.15423290|0.26323120
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/0.20|None|0.77775178|0.70891829|0.72631579
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/simple_0.50|None|0.57304948|0.47970065|0.65060241
EfficientNetB0_Block6|per frame (max)|SVG|None|0.67037080|0.62711176|0.65048544
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/0.50|None|0.77985729|0.71062001|0.72826087
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/simple_0.20|None|0.56778571|0.50096547|0.65873016
EfficientNetB0_Block6|per frame (max)|BalancedDistributionSVG/500/14/0.30|None|0.55971459|0.55281807|0.61710037
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/0.20|(1, 1, 1)|0.67352907|0.65631774|0.65437788
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/simple_0.50|(1, 1, 1)|0.55994853|0.48141560|0.61710037
EfficientNetB0_Block6|per frame (max)|SVG|(1, 1, 1)|0.61024681|0.62151082|0.62172285
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/0.50|(1, 1, 1)|0.67329512|0.65616017|0.65137615
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/simple_0.20|(1, 1, 1)|0.54298748|0.48183322|0.61940299
EfficientNetB0_Block6|per frame (max)|BalancedDistributionSVG/500/14/0.30|(1, 1, 1)|0.60860919|0.62163443|0.62172285
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/0.20|(2, 2, 2)|0.57609077|0.62006669|0.62500000
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/simple_0.50|(2, 2, 2)|0.55643935|0.49358244|0.61710037
EfficientNetB0_Block6|per frame (max)|SVG|(2, 2, 2)|0.54556088|0.60986509|0.61710037
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/0.50|(2, 2, 2)|0.57503802|0.61953626|0.62400000
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/simple_0.20|(2, 2, 2)|0.50766171|0.46053171|0.61710037
EfficientNetB0_Block6|per frame (max)|BalancedDistributionSVG/500/14/0.30|(2, 2, 2)|0.54263657|0.60755594|0.61940299
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/0.20|(0, 1, 1)|0.71797871|0.64989196|0.69607843
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/simple_0.50|(0, 1, 1)|0.56731781|0.49320653|0.62280702
EfficientNetB0_Block6|per frame (max)|SVG|(0, 1, 1)|0.64931571|0.60792008|0.63681592
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/0.50|(0, 1, 1)|0.71493742|0.64798107|0.68656716
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/simple_0.20|(0, 1, 1)|0.57176278|0.52193177|0.62068966
EfficientNetB0_Block6|per frame (max)|BalancedDistributionSVG/500/14/0.30|(0, 1, 1)|0.64182945|0.59869996|0.64646465
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/0.20|(0, 2, 2)|0.69446719|0.64571450|0.70000000
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/simple_0.50|(0, 2, 2)|0.58240730|0.51158166|0.62555066
EfficientNetB0_Block6|per frame (max)|SVG|(0, 2, 2)|0.63434320|0.59838052|0.64583333
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/0.50|(0, 2, 2)|0.69119195|0.64423964|0.69346734
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/simple_0.20|(0, 2, 2)|0.58076968|0.54379564|0.62393162
EfficientNetB0_Block6|per frame (max)|BalancedDistributionSVG/500/14/0.30|(0, 2, 2)|0.63925605|0.60340933|0.65306122
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/0.20|(1, 0, 0)|0.74570125|0.69783174|0.71276596
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/simple_0.50|(1, 0, 0)|0.56766873|0.46962465|0.63967611
EfficientNetB0_Block6|per frame (max)|SVG|(1, 0, 0)|0.65130425|0.63876240|0.65306122
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/0.50|(1, 0, 0)|0.74254299|0.69602086|0.70157068
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/simple_0.20|(1, 0, 0)|0.53035443|0.46607729|0.64197531
EfficientNetB0_Block6|per frame (max)|BalancedDistributionSVG/500/14/0.30|(1, 0, 0)|0.54661364|0.59799511|0.61710037
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/0.20|(2, 0, 0)|0.68663002|0.65937042|0.67980296
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/simple_0.50|(2, 0, 0)|0.55281319|0.46392952|0.63076923
EfficientNetB0_Block6|per frame (max)|SVG|(2, 0, 0)|0.59375366|0.61900118|0.62745098
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/0.50|(2, 0, 0)|0.68581121|0.65909789|0.67980296
EfficientNetB0_Block6|per frame (max)|SpatialBin/SVG/simple_0.20|(2, 0, 0)|0.48368230|0.42629905|0.63076923
EfficientNetB0_Block6|per frame (max)|BalancedDistributionSVG/500/14/0.30|(2, 0, 0)|0.51549889|0.59705008|0.61710037
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/0.20|None|0.63867119|0.62035110|0.61818182
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/simple_0.50|None|0.63446017|0.56582512|0.63565891
EfficientNetB0_Block6|per frame (sum)|SVG|None|0.57901509|0.56887794|0.61710037
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/0.50|None|0.63270558|0.61758711|0.61710037
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/simple_0.20|None|0.62837759|0.59487817|0.62595420
EfficientNetB0_Block6|per frame (sum)|BalancedDistributionSVG/500/14/0.30|None|0.59071236|0.57456854|0.61776062
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/0.20|(1, 1, 1)|0.61153351|0.63059219|0.61710037
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/simple_0.50|(1, 1, 1)|0.62369868|0.57193942|0.63779528
EfficientNetB0_Block6|per frame (sum)|SVG|(1, 1, 1)|0.56801965|0.60769649|0.61710037
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/0.50|(1, 1, 1)|0.60907709|0.62947709|0.61847390
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/simple_0.20|(1, 1, 1)|0.60463212|0.56813849|0.62406015
EfficientNetB0_Block6|per frame (sum)|BalancedDistributionSVG/500/14/0.30|(1, 1, 1)|0.57889812|0.61063806|0.62121212
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/0.20|(2, 2, 2)|0.56497836|0.62026870|0.62015504
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/simple_0.50|(2, 2, 2)|0.59819862|0.56356898|0.63601533
EfficientNetB0_Block6|per frame (sum)|SVG|(2, 2, 2)|0.52836589|0.60537787|0.61710037
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/0.50|(2, 2, 2)|0.56345771|0.61969529|0.61776062
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/simple_0.20|(2, 2, 2)|0.55456779|0.52308198|0.62172285
EfficientNetB0_Block6|per frame (sum)|BalancedDistributionSVG/500/14/0.30|(2, 2, 2)|0.54123289|0.60727101|0.62172285
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/0.20|(0, 1, 1)|0.63867119|0.62035110|0.61818182
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/simple_0.50|(0, 1, 1)|0.63446017|0.56582512|0.63565891
EfficientNetB0_Block6|per frame (sum)|SVG|(0, 1, 1)|0.57901509|0.56887794|0.61710037
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/0.50|(0, 1, 1)|0.63270558|0.61758711|0.61710037
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/simple_0.20|(0, 1, 1)|0.62837759|0.59487817|0.62595420
EfficientNetB0_Block6|per frame (sum)|BalancedDistributionSVG/500/14/0.30|(0, 1, 1)|0.59071236|0.57456854|0.61776062
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/0.20|(0, 2, 2)|0.63867119|0.62035110|0.61818182
EfficientNetB0_Block6|per frame (sum)|SpatialBin/SVG/simple_0.50|(0, 2, 2)|0.63446017|0.56582512|0.63565891
